CMDLINE 720
MEM 945.265625 1699537215.6973
MEM 945.265625 1699537215.7975
MEM 945.265625 1699537215.8977
MEM 945.265625 1699537215.9978
MEM 945.265625 1699537216.0980
MEM 945.265625 1699537216.1981
MEM 945.265625 1699537216.2982
MEM 945.265625 1699537216.3984
MEM 945.265625 1699537216.4986
MEM 945.265625 1699537216.5987
MEM 945.265625 1699537216.6988
MEM 945.265625 1699537216.7990
MEM 945.265625 1699537216.8992
MEM 945.265625 1699537216.9994
MEM 945.265625 1699537217.0996
MEM 945.265625 1699537217.1998
MEM 945.265625 1699537217.2999
MEM 945.265625 1699537217.4001
MEM 945.265625 1699537217.5002
MEM 945.265625 1699537217.6004
MEM 945.265625 1699537217.7006
MEM 945.265625 1699537217.8007
MEM 945.265625 1699537217.9008
MEM 945.265625 1699537218.0010
MEM 945.265625 1699537218.1011
MEM 945.265625 1699537218.2012
MEM 945.265625 1699537218.3014
MEM 945.265625 1699537218.4016
MEM 945.265625 1699537218.5017
MEM 945.265625 1699537218.6019
MEM 945.265625 1699537218.7020
MEM 945.265625 1699537218.8021
MEM 945.265625 1699537218.9023
MEM 945.265625 1699537219.0024
MEM 945.265625 1699537219.1025
MEM 945.265625 1699537219.2027
MEM 945.265625 1699537219.3029
MEM 945.265625 1699537219.4031
MEM 945.265625 1699537219.5034
MEM 945.265625 1699537219.6035
MEM 945.265625 1699537219.7037
MEM 945.265625 1699537219.8039
MEM 945.265625 1699537219.9040
MEM 945.265625 1699537220.0042
MEM 945.265625 1699537220.1043
MEM 945.265625 1699537220.2045
MEM 945.265625 1699537220.3047
MEM 945.265625 1699537220.4049
MEM 945.265625 1699537220.5051
MEM 945.265625 1699537220.6053
MEM 945.265625 1699537220.7056
MEM 945.265625 1699537220.8058
MEM 945.265625 1699537220.9060
MEM 945.265625 1699537221.0062
MEM 945.265625 1699537221.1064
MEM 945.265625 1699537221.2065
MEM 945.265625 1699537221.3068
MEM 945.265625 1699537221.4069
MEM 945.265625 1699537221.5071
MEM 945.265625 1699537221.6072
MEM 945.265625 1699537221.7074
MEM 945.265625 1699537221.8076
MEM 945.265625 1699537221.9077
MEM 945.265625 1699537222.0078
MEM 945.265625 1699537222.1079
MEM 945.265625 1699537222.2081
MEM 945.265625 1699537222.3082
MEM 945.265625 1699537222.4084
MEM 945.265625 1699537222.5085
MEM 945.265625 1699537222.6086
MEM 945.265625 1699537222.7087
MEM 945.265625 1699537222.8089
MEM 945.265625 1699537222.9090
MEM 945.265625 1699537223.0091
MEM 945.265625 1699537223.1093
MEM 945.265625 1699537223.2094
MEM 945.265625 1699537223.3096
MEM 945.265625 1699537223.4097
MEM 945.265625 1699537223.5098
MEM 945.265625 1699537223.6099
MEM 945.265625 1699537223.7101
MEM 945.265625 1699537223.8102
MEM 945.265625 1699537223.9104
MEM 945.265625 1699537224.0105
MEM 945.265625 1699537224.1106
MEM 945.265625 1699537224.2108
MEM 945.265625 1699537224.3109
MEM 945.265625 1699537224.4110
MEM 945.265625 1699537224.5111
MEM 945.265625 1699537224.6113
MEM 945.265625 1699537224.7114
MEM 945.265625 1699537224.8115
MEM 945.265625 1699537224.9116
MEM 945.265625 1699537225.0118
MEM 945.265625 1699537225.1119
MEM 945.265625 1699537225.2120
MEM 945.265625 1699537225.3122
MEM 945.265625 1699537225.4123
MEM 945.265625 1699537225.5125
MEM 945.265625 1699537225.6127
MEM 945.265625 1699537225.7129
MEM 945.265625 1699537225.8132
MEM 945.265625 1699537225.9133
MEM 945.265625 1699537226.0135
MEM 945.265625 1699537226.1137
MEM 945.265625 1699537226.2139
MEM 945.265625 1699537226.3141
MEM 945.265625 1699537226.4143
MEM 945.265625 1699537226.5145
MEM 945.265625 1699537226.6147
MEM 945.265625 1699537226.7149
MEM 945.265625 1699537226.8150
MEM 945.265625 1699537226.9152
MEM 945.265625 1699537227.0154
MEM 945.265625 1699537227.1156
MEM 945.265625 1699537227.2158
MEM 945.265625 1699537227.3160
MEM 945.265625 1699537227.4162
MEM 945.265625 1699537227.5164
MEM 945.265625 1699537227.6166
MEM 945.265625 1699537227.7168
MEM 945.265625 1699537227.8169
MEM 945.265625 1699537227.9171
MEM 945.265625 1699537228.0173
MEM 1217.117188 1699537228.1175
MEM 1464.640625 1699537228.2177
MEM 1455.558594 1699537228.3180
MEM 1626.812500 1699537228.4183
MEM 1880.941406 1699537228.5186
MEM 2043.871094 1699537228.6188
MEM 1914.769531 1699537228.7190
MEM 1489.085938 1699537228.8192
MEM 1924.714844 1699537228.9195
MEM 1973.519531 1699537229.0197
MEM 1916.550781 1699537229.1199
MEM 1650.394531 1699537229.2202
MEM 1490.675781 1699537229.3204
MEM 1279.925781 1699537229.4206
MEM 1197.273438 1699537229.5208
MEM 1184.628906 1699537229.6209
MEM 1168.023438 1699537229.7211
MEM 1168.023438 1699537229.8213
MEM 1137.199219 1699537229.9214
MEM 1124.128906 1699537230.0216
MEM 1112.773438 1699537230.1218
MEM 1112.773438 1699537230.2221
MEM 1113.281250 1699537230.3223
MEM 1146.074219 1699537230.4233
MEM 1549.730469 1699537230.5236
MEM 1620.132812 1699537230.6238
MEM 1746.523438 1699537230.7242
MEM 1915.582031 1699537230.8244
MEM 2094.089844 1699537230.9247
MEM 2024.371094 1699537231.0249
MEM 1965.468750 1699537231.1252
MEM 1871.753906 1699537231.2254
MEM 2059.648438 1699537231.3257
MEM 1982.871094 1699537231.4259
MEM 1962.847656 1699537231.5261
MEM 1534.832031 1699537231.6263
MEM 1534.832031 1699537231.7264
MEM 1278.292969 1699537231.8266
MEM 1253.636719 1699537231.9268
MEM 1248.460938 1699537232.0270
MEM 1248.460938 1699537232.1271
MEM 1248.460938 1699537232.2273
MEM 1248.460938 1699537232.3275
MEM 1248.460938 1699537232.4276
MEM 1236.816406 1699537232.5278
MEM 1233.449219 1699537232.6280
MEM 1233.449219 1699537232.7281
MEM 1233.449219 1699537232.8283
MEM 1227.937500 1699537232.9284
MEM 1212.656250 1699537233.0285
MEM 1212.656250 1699537233.1287
MEM 1233.609375 1699537233.2291
MEM 1665.035156 1699537233.3294
MEM 1735.406250 1699537233.4296
MEM 1861.179688 1699537233.5299
MEM 2054.097656 1699537233.6301
MEM 2222.707031 1699537233.7304
MEM 2147.785156 1699537233.8306
MEM 2007.929688 1699537233.9309
MEM 2058.667969 1699537234.0311
MEM 2253.777344 1699537234.1314
MEM 2115.105469 1699537234.2316
MEM 1994.320312 1699537234.3318
MEM 1688.964844 1699537234.4320
MEM 1674.527344 1699537234.5322
MEM 1362.226562 1699537234.6324
MEM 1350.316406 1699537234.7326
MEM 1334.988281 1699537234.8327
MEM 1334.988281 1699537234.9329
MEM 1334.988281 1699537235.0331
MEM 1303.273438 1699537235.1332
MEM 1303.273438 1699537235.2334
MEM 1288.339844 1699537235.3336
MEM 1536.738281 1699537235.4338
MEM 1794.562500 1699537235.5340
MEM 1885.667969 1699537235.6343
MEM 2163.589844 1699537235.7346
MEM 2322.824219 1699537235.8348
MEM 2211.898438 1699537235.9350
MEM 2120.152344 1699537236.0353
MEM 2099.289062 1699537236.1355
MEM 2328.878906 1699537236.2357
MEM 2197.945312 1699537236.3359
MEM 2199.750000 1699537236.4362
MEM 1776.910156 1699537236.5364
MEM 1766.437500 1699537236.6366
MEM 1566.238281 1699537236.7367
MEM 1549.007812 1699537236.8369
MEM 1545.027344 1699537236.9371
MEM 1526.179688 1699537237.0373
MEM 1516.300781 1699537237.1374
MEM 1433.781250 1699537237.2376
MEM 1435.781250 1699537237.3378
MEM 1420.257812 1699537237.4379
MEM 1422.257812 1699537237.5381
MEM 1418.613281 1699537237.6383
MEM 1678.167969 1699537237.7385
MEM 1892.757812 1699537237.8387
MEM 1907.414062 1699537237.9390
MEM 2120.957031 1699537238.0392
MEM 2383.152344 1699537238.1395
MEM 2317.964844 1699537238.2397
MEM 2303.972656 1699537238.3399
MEM 2173.367188 1699537238.4401
MEM 2366.210938 1699537238.5405
MEM 2297.976562 1699537238.6407
MEM 2300.039062 1699537238.7409
MEM 1882.675781 1699537238.8412
MEM 1879.468750 1699537238.9414
MEM 1685.792969 1699537239.0416
MEM 1664.921875 1699537239.1418
MEM 1663.632812 1699537239.2419
MEM 1661.539062 1699537239.3421
MEM 1634.671875 1699537239.4423
MEM 1528.921875 1699537239.5425
MEM 1528.921875 1699537239.6427
MEM 1521.390625 1699537239.7428
MEM 1521.390625 1699537239.8430
MEM 1521.390625 1699537239.9432
MEM 1521.390625 1699537240.0433
MEM 1519.597656 1699537240.1435
MEM 1519.597656 1699537240.2437
MEM 1519.597656 1699537240.3438
MEM 1519.597656 1699537240.4440
MEM 1512.214844 1699537240.5442
MEM 1512.214844 1699537240.6444
MEM 1507.710938 1699537240.7447
MEM 1507.710938 1699537240.8449
MEM 1507.710938 1699537240.9450
MEM 1507.710938 1699537241.0452
MEM 1507.710938 1699537241.1454
MEM 1745.312500 1699537241.2456
MEM 1996.839844 1699537241.3459
MEM 1960.121094 1699537241.4461
MEM 2151.660156 1699537241.5463
MEM 2414.832031 1699537241.6465
MEM 2558.054688 1699537241.7468
MEM 2431.632812 1699537241.8470
MEM 2175.382812 1699537241.9473
MEM 2499.300781 1699537242.0479
MEM 2431.734375 1699537242.1481
MEM 2433.789062 1699537242.2482
MEM 2021.312500 1699537242.3484
MEM 2021.570312 1699537242.4489
MEM 1825.511719 1699537242.5490
MEM 1820.828125 1699537242.6492
MEM 1818.472656 1699537242.7494
MEM 1796.886719 1699537242.8496
MEM 1790.855469 1699537242.9498
MEM 1695.792969 1699537243.0500
MEM 1669.996094 1699537243.1502
MEM 1658.417969 1699537243.2504
MEM 1650.464844 1699537243.3505
MEM 1647.234375 1699537243.4507
MEM 1635.394531 1699537243.5509
MEM 1969.156250 1699537243.6511
MEM 2133.417969 1699537243.7513
MEM 2140.128906 1699537243.8516
MEM 2269.492188 1699537243.9518
MEM 2464.292969 1699537244.0520
MEM 2653.066406 1699537244.1522
MEM 2521.500000 1699537244.2524
MEM 2267.867188 1699537244.3527
MEM 2534.246094 1699537244.4529
MEM 2565.335938 1699537244.5531
MEM 2503.207031 1699537244.6533
MEM 2242.765625 1699537244.7535
MEM 2081.007812 1699537244.8537
MEM 2081.007812 1699537244.9539
MEM 1877.300781 1699537245.0541
MEM 1877.300781 1699537245.1542
MEM 1859.957031 1699537245.2544
MEM 1776.746094 1699537245.3545
MEM 1776.746094 1699537245.4547
MEM 1768.617188 1699537245.5549
MEM 1749.000000 1699537245.6550
MEM 1738.558594 1699537245.7552
MEM 1738.558594 1699537245.8554
MEM 1738.558594 1699537245.9557
MEM 1738.558594 1699537246.0559
MEM 1738.558594 1699537246.1561
MEM 1738.558594 1699537246.2562
MEM 1891.507812 1699537246.3572
MEM 2189.460938 1699537246.4574
MEM 2232.710938 1699537246.5576
MEM 2284.496094 1699537246.6579
MEM 2505.023438 1699537246.7581
MEM 2697.425781 1699537246.8583
MEM 2689.351562 1699537246.9586
MEM 2620.777344 1699537247.0588
MEM 2443.328125 1699537247.1590
MEM 2664.285156 1699537247.2592
MEM 2593.503906 1699537247.3593
MEM 2595.566406 1699537247.4595
MEM 2175.101562 1699537247.5597
MEM 2152.667969 1699537247.6599
MEM 1956.339844 1699537247.7601
MEM 1951.304688 1699537247.8602
MEM 1946.015625 1699537247.9604
MEM 1869.234375 1699537248.0607
MEM 1869.234375 1699537248.1608
MEM 1860.425781 1699537248.2610
MEM 1860.425781 1699537248.3612
MEM 1854.433594 1699537248.4613
MEM 1848.304688 1699537248.5615
MEM 1838.328125 1699537248.6617
MEM 1838.328125 1699537248.7618
MEM 2125.671875 1699537248.8621
MEM 2346.246094 1699537248.9623
MEM 2354.074219 1699537249.0625
MEM 2580.996094 1699537249.1628
MEM 2759.917969 1699537249.2630
MEM 2890.585938 1699537249.3632
MEM 2761.593750 1699537249.4634
MEM 2589.421875 1699537249.5637
MEM 2710.117188 1699537249.6639
MEM 2875.472656 1699537249.7642
MEM 2745.046875 1699537249.8644
MEM 2613.656250 1699537249.9647
MEM 2326.082031 1699537250.0649
MEM 2326.082031 1699537250.1650
MEM 2123.351562 1699537250.2652
MEM 2043.363281 1699537250.3654
MEM 2038.535156 1699537250.4656
MEM 2028.625000 1699537250.5658
MEM 2028.625000 1699537250.6660
MEM 1995.445312 1699537250.7663
MEM 1995.445312 1699537250.8665
MEM 1956.539062 1699537250.9666
MEM 1956.539062 1699537251.0668
MEM 2207.925781 1699537251.1670
MEM 2455.730469 1699537251.2672
MEM 2489.828125 1699537251.3674
MEM 2769.757812 1699537251.4677
MEM 2941.722656 1699537251.5680
MEM 2929.015625 1699537251.6682
MEM 2869.957031 1699537251.7684
MEM 2458.996094 1699537251.8686
MEM 2882.550781 1699537251.9688
MEM 2891.402344 1699537252.0691
MEM 2832.046875 1699537252.1692
MEM 2612.910156 1699537252.2695
